basis,seed,group,row,stratum,energy,sse
identity,0,32,8820,0,0.30022045186126434,0.0018588594917900991
identity,0,16,8820,0,0.30022045186126434,0.0013836335434689317
identity,0,32,8881,0,0.3134579434527609,0.0021375608567382187
identity,0,16,8881,0,0.3134579434527609,0.00161870953985499
identity,0,32,8942,0,0.34115938735713769,0.0022426636424910384
identity,0,16,8942,0,0.34115938735713769,0.0016293442277941494
identity,0,32,9002,0,0.28438254723164391,0.0019170170687630161
identity,0,16,9002,0,0.28438254723164391,0.0013692352774796746
identity,0,32,9063,0,0.33916777113780938,0.002119163022953785
identity,0,16,9063,0,0.33916777113780938,0.0015634535565283159
identity,0,32,9124,0,0.37221092044845605,0.0023985835380564424
identity,0,16,9124,0,0.37221092044845605,0.0017576292687273565
identity,0,32,9184,0,0.4344579286920407,0.0030783914083940545
identity,0,16,9184,0,0.4344579286920407,0.0022119423414324046
identity,0,32,9245,0,0.38125549890782295,0.0024400390308905173
identity,0,16,9245,0,0.38125549890782295,0.0017700803716174107
identity,0,32,9305,0,0.40086428908865912,0.0028254093569017869
identity,0,16,9305,0,0.40086428908865912,0.0020155899266143251
identity,0,32,9366,0,0.41185605160262639,0.002770827001768339
identity,0,16,9366,0,0.41185605160262639,0.0020366124945212505
identity,0,32,9427,0,0.29041218551092918,0.0022798922519609022
identity,0,16,9427,0,0.29041218551092918,0.0016584390769889268
identity,0,32,9487,0,0.46029681415696189,0.0030754302150199919
identity,0,16,9487,0,0.46029681415696189,0.0023230530112670067
identity,0,32,9548,0,0.36021866564470884,0.002282579307859578
identity,0,16,9548,0,0.36021866564470884,0.0015760213739781648
identity,0,32,9609,0,0.37487648466782275,0.0024865325395353466
identity,0,16,9609,0,0.37487648466782275,0.0017999116899432011
identity,0,32,9669,0,0.42549305148946814,0.0029637453868076591
identity,0,16,9669,0,0.42549305148946814,0.0021208030071306894
identity,0,32,9730,0,0.56485568733097935,0.0044099303302722603
identity,0,16,9730,0,0.56485568733097935,0.0031033797275235031
identity,0,32,9790,0,0.54470722590485821,0.0037059266396681778
identity,0,16,9790,0,0.54470722590485821,0.0028398343056323938
identity,0,32,9851,0,0.3821192721454878,0.0024559063360953814
identity,0,16,9851,0,0.3821192721454878,0.0018665642394495308
identity,0,32,9912,0,0.39118344357484602,0.0026375041525170673
identity,0,16,9912,0,0.39118344357484602,0.0019203014599042945
identity,0,32,9972,0,0.31635479630676855,0.0020822905080422061
identity,0,16,9972,0,0.31635479630676855,0.0015491285394091392
identity,0,32,10033,0,0.32438451944273083,0.0019864916847041059
identity,0,16,10033,0,0.32438451944273083,0.0015021544548403654
identity,0,32,10094,0,0.38407790311615386,0.0028379174109751659
identity,0,16,10094,0,0.38407790311615386,0.0019928714937442749
identity,0,32,10154,0,0.41221891482405226,0.0029792900661504973
identity,0,16,10154,0,0.41221891482405226,0.0022976921084136848
identity,0,32,10215,0,0.28278060203275857,0.0017727800700555463
identity,0,16,10215,0,0.28278060203275857,0.0012802976130075194
identity,0,32,10275,0,0.29263498691507905,0.001693452627666403
identity,0,16,10275,0,0.29263498691507905,0.0013237009981885706
identity,0,32,10336,0,0.39431431524481297,0.0023849606024697323
identity,0,16,10336,0,0.39431431524481297,0.0018551010418406122
identity,0,32,10397,0,0.33236781194229081,0.0022071343055500847
identity,0,16,10397,0,0.33236781194229081,0.0016579282937669859
identity,0,32,10457,0,0.35274017717473782,0.002429717216173799
identity,0,16,10457,0,0.35274017717473782,0.0018609097127324503
identity,0,32,10518,0,0.35202929435792729,0.0023789087866328273
identity,0,16,10518,0,0.35202929435792729,0.001746881691652824
identity,0,32,10579,0,0.33209156245135318,0.0022990809571297177
identity,0,16,10579,0,0.33209156245135318,0.0016674828416967102
identity,0,32,10639,0,0.49232573194377949,0.0031043414760603127
identity,0,16,10639,0,0.49232573194377949,0.0023098727265420393
identity,0,32,10700,0,0.25427394682358795,0.001815854481748147
identity,0,16,10700,0,0.25427394682358795,0.0013246207936674637
identity,0,32,10760,0,0.54756124294209485,0.0036276422454761814
identity,0,16,10760,0,0.54756124294209485,0.0028404426832935314
identity,0,32,10821,0,0.31749505297441161,0.0021369600460481308
identity,0,16,10821,0,0.31749505297441161,0.0016149267055176608
identity,0,32,10882,0,0.31839525184086881,0.0019802833919158047
identity,0,16,10882,0,0.31839525184086881,0.0014938607234427081
identity,0,32,10942,0,0.31716052423581687,0.0022387309662121879
identity,0,16,10942,0,0.31716052423581687,0.0015865249559396943
identity,0,32,11003,0,0.51930532955663011,0.003851070917846755
identity,0,16,11003,0,0.51930532955663011,0.0026925694706392278
identity,0,32,11064,0,0.39024659227933273,0.0026418049302138931
identity,0,16,11064,0,0.39024659227933273,0.0018565396158793553
identity,0,32,11124,0,0.35076352321485516,0.0020196221288735217
identity,0,16,11124,0,0.35076352321485516,0.0015309380382042548
identity,0,32,11185,0,0.47737506694787157,0.0028929220057136718
identity,0,16,11185,0,0.47737506694787157,0.0022232809019726574
identity,0,32,11245,0,0.33623542660149042,0.0024213025158701384
identity,0,16,11245,0,0.33623542660149042,0.0017334403260633735
identity,0,32,11306,0,0.2890188054449867,0.0018581691262555822
identity,0,16,11306,0,0.2890188054449867,0.0013991589336841415
identity,0,32,11367,0,0.56111483510450455,0.0036887585765867925
identity,0,16,11367,0,0.56111483510450455,0.0028711057048127486
identity,0,32,11427,0,0.33040821424280153,0.0023027755966396057
identity,0,16,11427,0,0.33040821424280153,0.001640328148518222
identity,0,32,11488,0,0.37528826019674,0.0023769060045566448
identity,0,16,11488,0,0.37528826019674,0.0018541261143951715
identity,0,32,11549,0,0.28078905026637813,0.0019799882284701198
identity,0,16,11549,0,0.28078905026637813,0.0014822883422880295
identity,0,32,11609,0,0.45293830274376035,0.0030190478609171123
identity,0,16,11609,0,0.45293830274376035,0.0022254887661716793
identity,0,32,11670,0,0.33216654942402946,0.0022377154327403309
identity,0,16,11670,0,0.33216654942402946,0.0016181010596044848
identity,0,32,11730,0,0.28681082365456234,0.0018206182141540239
identity,0,16,11730,0,0.28681082365456234,0.0013498292612013074
identity,0,32,11791,0,0.3635946569816042,0.0025730787278916978
identity,0,16,11791,0,0.3635946569816042,0.0019515107965162315
identity,0,32,11852,0,0.27863208663400485,0.0017779124587633532
identity,0,16,11852,0,0.27863208663400485,0.0014120513238395915
identity,0,32,11912,0,0.36469947132559355,0.0026799957470302616
identity,0,16,11912,0,0.36469947132559355,0.0018827723272352159
identity,0,32,11973,0,0.45125252016265449,0.0035712533481842001
identity,0,16,11973,0,0.45125252016265449,0.002516218455696162
identity,0,32,12034,0,0.45139257055853932,0.0027291572521903618
