model,window,teacher_nll,candidate_nll,kl
Q4_0-pure,13,2.8272092743938373,3.033762962896264,0.12927975208989056
Q4_0-pure,14,2.5957386494224424,2.7670688826479894,0.12834492306457831
Q4_0-pure,15,2.982816117116239,3.2530345581970974,0.1552071354839168
Q4_0,0,2.010274511720478,2.0992673751973845,0.06087285345184153
Q4_0,1,2.586185131223754,2.642707943513051,0.07297745437846645
Q4_0,2,2.9141439424246567,2.9645672255221784,0.06930937821841675
Q4_0,3,2.3831986002247,2.454284321984667,0.07124395258743459
Q4_0,4,2.409248679856744,2.479665323099829,0.0691883150756798
Q4_0,5,2.813336637481543,2.9289224523632,0.07389412856463061
Q4_0,6,2.5134011512154886,2.63424526384987,0.06716053701465774
Q4_0,7,2.550470744007586,2.6073159781254662,0.06640973974284824
Q4_0,8,3.451141522066478,3.510554446278422,0.07792331721673942
Q4_0,9,2.967745518919259,3.0751174701080197,0.0766349982033398
Q4_0,10,2.496927590923322,2.5875866837568013,0.07454357974662644
Q4_0,11,2.635569996153096,2.7232502265418024,0.06597979500523421
Q4_0,12,2.522191012752562,2.595610290115042,0.06206351707364235
Q4_0,13,2.8272092743938373,2.9169190405370875,0.06331726118986641
Q4_0,14,2.5957386494224424,2.6667212786569414,0.05849489131967907
Q4_0,15,2.982816117116239,3.0499801023069932,0.06419776715622388
Q4_K_M,0,2.010274511720478,2.027462219706349,0.028206455499792497
Q4_K_M,1,2.586185131223754,2.6096151096604068,0.03247551010187671
Q4_K_M,2,2.9141439424246567,2.941516340157565,0.03162756469666125
Q4_K_M,3,2.3831986002247,2.4212045036604266,0.03480196996199622
Q4_K_M,4,2.409248679856744,2.4421221870774477,0.03780654447230197
Q4_K_M,5,2.813336637481543,2.8411199825558144,0.03923368522106373
Q4_K_M,6,2.5134011512154886,2.587387039803132,0.03406665955995484
Q4_K_M,7,2.550470744007586,2.5676157551274366,0.03350726184300868
Q4_K_M,8,3.451141522066478,3.472104022070521,0.037546002677645386
Q4_K_M,9,2.967745518919259,2.9708632499876315,0.04256872565133823
Q4_K_M,10,2.496927590923322,2.537543863399812,0.04124003492603687
Q4_K_M,11,2.635569996153096,2.6395894413667818,0.03316966368244089
Q4_K_M,12,2.522191012752562,2.5485657358498837,0.03280803587082162
Q4_K_M,13,2.8272092743938373,2.8390723388801544,0.0323674411473375
Q4_K_M,14,2.5957386494224424,2.613210169029948,0.028936734560834922
Q4_K_M,15,2.982816117116239,3.0040453685300763,0.03472746305631648
IQ4_XS,0,2.010274511720478,2.038463540821285,0.04408088523093654
IQ4_XS,1,2.586185131223754,2.655761006391682,0.04934222440319055
IQ4_XS,2,2.9141439424246567,2.9678298595383645,0.05449521790541507
IQ4_XS,3,2.3831986002247,2.42750071519093,0.04875646590190303
IQ4_XS,4,2.409248679856744,2.4793767543402945,0.04916304319885127
IQ4_XS,5,2.813336637481543,2.8552527331659383,0.05014852877192445
IQ4_XS,6,2.5134011512154886,2.5867623655240313,0.05653174185454008
IQ4_XS,7,2.550470744007586,2.6054768762875447,0.04356073071433253
IQ4_XS,8,3.451141522066478,3.4813377981996743,0.053946641714569164
IQ4_XS,9,2.967745518919259,3.0090983935910556,0.05568088212441824
IQ4_XS,10,2.496927590923322,2.567204733836632,0.05484055741626321
IQ4_XS,11,2.635569996153096,2.67453254657276,0.04807120044045169
IQ4_XS,12,2.522191012752562,2.5680658178764357,0.04608734384866226
IQ4_XS,13,2.8272092743938373,2.847044770653523,0.05215293638025081
IQ4_XS,14,2.5957386494224424,2.6459037271411012,0.04549629891485969
IQ4_XS,15,2.982816117116239,3.0904803785683392,0.05626889549059175
